date,sales_rep_id,total_sales_amount,deals_closed,customer_satisfaction_score
2022-07-28,REP-963,249476.81,20,3.6
2022-05-07,REP-534,10454.31,1,3.1
2023-02-08,REP-843,47492.08,2,4.2
2023-02-25,REP-394,316892.93,49,5.0
2022-02-07,REP-245,454384.49,40,2.3
2022-02-23,REP-381,235980.43,24,3.7
2023-02-02,REP-390,463709.86,14,2.5
2022-01-07,REP-830,266138.71,37,1.9
2022-11-25,REP-852,391220.57,43,1.0
2022-12-16,REP-467,193036.9,50,3.4
2023-03-27,REP-466,172506.96,31,3.6
2022-10-02,REP-645,284957.62,20,2.6
2022-04-13,REP-978,132283.79,9,3.2
2022-06-04,REP-249,451954.38,18,4.2
2022-06-10,REP-646,372870.66,11,3.3
2022-12-06,REP-327,227798.59,2,1.5
2023-02-19,REP-585,434333.39,8,2.1
2022-07-16,REP-510,248933.2,22,2.5
2022-10-02,REP-674,159527.42,23,4.7
2022-03-23,REP-294,462189.85,23,1.7
2023-03-27,REP-122,333829.68,4,3.1
2022-03-30,REP-216,496148.97,37,4.3
2022-05-06,REP-256,342142.73,7,5.0
2022-05-01,REP-798,476592.95,43,4.3
2022-10-01,REP-244,268377.09,14,4.8
2022-05-12,REP-796,107226.24,44,1.7
2023-04-04,REP-909,292967.94,7,4.9
2022-11-20,REP-976,108676.81,29,1.1
2022-03-12,REP-848,96529.87,12,2.3
2022-10-07,REP-148,134332.9,10,3.0
2022-09-11,REP-162,437168.34,3,2.2
2022-12-30,REP-348,17877.4,36,3.2
2023-02-12,REP-849,320938.06,31,3.4
2023-01-20,REP-588,66619.48,4,4.2
2022-06-22,REP-797,211419.08,11,1.9
2022-02-22,REP-392,397220.17,33,2.7
2023-01-10,REP-754,168229.53,9,3.7
2023-04-21,REP-442,272169.3,3,1.2
2022-12-19,REP-407,170861.23,3,3.8
2022-01-30,REP-531,166764.43,41,2.7
2022-12-02,REP-646,164978.98,29,2.9
2022-12-09,REP-483,5725.74,46,3.7
2022-03-01,REP-142,257275.69,18,3.5
2022-02-01,REP-305,442191.45,20,1.3
2022-08-06,REP-309,465627.04,12,2.9
2023-02-17,REP-886,273901.58,14,2.8
2023-03-29,REP-538,99076.22,17,1.4
2022-08-21,REP-549,195285.27,35,2.9
2022-11-16,REP-218,463182.77,11,3.5
2023-04-19,REP-865,158624.31,40,3.1
2022-09-07,REP-603,292388.77,22,3.1
2023-03-08,REP-813,24878.29,14,3.6
2022-12-29,REP-896,464957.93,35,4.8
2022-07-19,REP-996,317794.27,7,1.7
2023-02-15,REP-793,293161.3,5,2.1
2023-03-31,REP-224,306619.73,27,2.7
2022-07-26,REP-912,182334.73,3,2.8
2022-04-14,REP-271,66009.62,25,2.4
2023-01-04,REP-747,178314.73,29,3.5
2022-10-02,REP-993,57405.95,26,2.8
2022-11-19,REP-615,397133.47,20,3.8
2022-03-19,REP-364,398281.66,4,4.9
2023-01-22,REP-898,139138.99,15,2.4
2023-03-05,REP-593,213405.87,2,3.4
2022-04-07,REP-942,102529.94,15,3.3
2022-05-14,REP-228,181007.07,34,3.7
2022-08-21,REP-310,39748.32,34,3.5
2022-09-22,REP-275,313980.09,48,4.2
2023-04-20,REP-665,362271.85,29,2.9
2022-01-24,REP-687,210804.9,25,4.1
2023-01-03,REP-683,178316.32,21,5.0
2023-03-10,REP-900,463427.36,21,4.1
2022-03-11,REP-982,414666.07,19,2.5
2022-09-10,REP-380,35961.63,16,1.5
2022-08-11,REP-863,105466.0,31,1.6
2022-10-19,REP-766,493283.55,23,1.6
2022-03-24,REP-984,411467.76,27,2.6
2023-02-20,REP-950,268718.18,5,4.2
2022-04-27,REP-316,143466.78,8,4.1
2023-04-02,REP-989,441141.7,14,2.7
2022-04-25,REP-579,378212.25,22,3.4
2022-02-28,REP-435,183986.89,3,3.1
2022-06-17,REP-333,433656.86,43,1.7
2022-07-23,REP-406,14686.43,18,1.6
2022-12-07,REP-153,41530.25,8,2.8
2022-04-11,REP-184,74503.42,26,4.8
2022-02-20,REP-259,362723.73,11,4.0
2022-01-30,REP-288,149585.81,14,2.7
2022-12-01,REP-506,447235.58,5,1.6
2023-02-21,REP-668,308011.92,23,4.0
2023-04-24,REP-191,143405.65,11,4.2
2023-03-07,REP-762,343547.46,5,1.0
2022-03-29,REP-347,197882.82,21,4.1
2022-04-12,REP-289,78611.62,39,3.9
2022-03-08,REP-499,324501.62,16,3.9
2022-08-18,REP-192,197614.68,16,4.7
2022-10-18,REP-944,346667.45,42,3.1
2022-09-23,REP-451,26326.47,43,1.2
2022-01-18,REP-518,22337.82,39,4.6
2023-04-03,REP-367,368364.69,46,2.7
2022-03-21,REP-738,221670.09,20,2.2
2022-02-04,REP-555,5416.01,44,1.7
2022-05-15,REP-161,61804.99,1,4.1
2022-02-05,REP-859,50421.37,35,2.5
2022-06-24,REP-704,452020.22,14,4.5
2023-03-12,REP-833,99437.43,2,2.3
2022-09-27,REP-337,397862.44,7,2.2
2022-06-10,REP-325,214930.37,23,3.3
2022-06-29,REP-937,337735.8,17,4.6
2023-04-21,REP-137,255356.25,49,4.5
2022-06-18,REP-828,189191.12,13,4.2
2022-03-07,REP-792,32177.81,49,3.0
2022-04-26,REP-614,50912.31,43,4.0
2022-05-29,REP-734,57711.59,40,4.6
2023-01-14,REP-867,492634.77,33,1.8
2023-03-28,REP-193,14481.29,18,1.9
2023-03-03,REP-302,282694.3,13,2.3
2022-08-02,REP-119,150912.77,26,3.8
2022-03-25,REP-637,357215.88,18,1.3
2022-07-08,REP-256,245493.62,4,1.4
2022-06-13,REP-357,432945.48,40,2.2
2022-10-31,REP-271,457880.34,37,2.0
2022-01-18,REP-937,292818.19,46,2.3
2022-10-30,REP-894,374596.76,43,2.6
2022-06-16,REP-967,363449.12,27,4.4
2022-02-23,REP-579,333441.39,30,2.3
2022-12-08,REP-194,146236.25,42,4.9
2022-10-11,REP-503,79659.14,44,4.8
2023-04-19,REP-129,485684.75,31,3.2
2022-04-15,REP-475,31033.98,2,3.3
2023-03-02,REP-607,258822.23,41,2.8
2022-05-13,REP-235,370173.47,45,4.6
2022-06-24,REP-210,64923.8,32,3.1
2022-12-11,REP-651,428485.79,50,3.8
2023-03-23,REP-486,226105.86,47,2.9
2022-04-16,REP-179,25571.08,17,1.1
2022-11-01,REP-115,177875.07,12,1.9
2023-02-03,REP-161,147154.56,16,3.0
2023-01-15,REP-703,278242.42,38,3.1
2022-05-18,REP-812,224297.57,19,4.7
2023-02-12,REP-307,298550.83,37,2.9
2022-07-21,REP-449,185255.61,26,3.5
2023-02-07,REP-111,496924.84,38,2.8
2022-03-20,REP-933,461079.19,28,3.0
2022-02-22,REP-525,328645.86,43,3.0
2022-04-13,REP-583,444378.01,2,3.9
2022-01-20,REP-150,226935.45,27,4.4
2023-02-14,REP-684,412931.98,38,3.5
2022-05-22,REP-462,135375.37,41,3.4
2022-10-20,REP-919,120474.38,31,1.4
2022-09-19,REP-590,113244.79,34,1.8
2022-01-11,REP-365,435449.35,31,3.9
2023-02-02,REP-700,459201.37,45,3.3
2022-11-20,REP-637,215308.37,24,2.5
2023-01-17,REP-675,103130.02,28,4.1
2022-03-10,REP-570,23934.45,29,4.5
2023-04-06,REP-145,22026.65,27,2.0
2023-04-28,REP-489,67399.87,21,3.0
2022-03-08,REP-749,64366.81,33,3.1
2022-11-22,REP-571,51270.14,40,2.0
2022-05-16,REP-601,140021.72,22,1.4
2022-07-28,REP-832,129999.66,4,3.2
2022-12-12,REP-108,162673.31,31,1.1
2022-12-16,REP-877,307776.17,26,1.9
2022-01-05,REP-597,454550.42,17,2.8
2022-09-02,REP-462,146911.66,26,4.0
2022-04-19,REP-769,102667.11,5,4.9
2023-03-09,REP-820,69472.25,39,4.3
2022-09-14,REP-964,259520.31,4,1.7
2022-03-09,REP-838,116033.24,36,1.1
2022-03-29,REP-700,94345.66,26,2.6
2022-01-15,REP-525,44318.45,34,1.2
2023-01-26,REP-435,31277.82,15,4.7
2023-01-13,REP-964,402408.75,48,5.0
2022-01-27,REP-351,23064.63,16,1.8
2023-03-02,REP-715,429559.79,10,3.8
2022-05-15,REP-971,94415.66,23,4.0
2022-05-14,REP-908,359952.68,15,2.0
2023-03-24,REP-854,484071.93,44,1.1
2022-08-24,REP-976,293095.79,49,1.0
2022-04-07,REP-428,445192.65,2,3.6
2022-09-08,REP-242,90462.16,26,4.9
2022-03-28,REP-188,285395.83,42,4.7
2022-03-01,REP-355,453928.4,38,1.2
2022-11-21,REP-395,303314.04,35,1.2
2023-04-12,REP-656,51987.56,6,1.7
2023-03-16,REP-436,450335.29,22,2.7
2022-11-11,REP-872,94809.28,23,3.3
2022-04-25,REP-805,150624.91,15,2.2
2022-02-25,REP-175,107167.51,41,2.3
2023-03-01,REP-293,281599.96,50,4.3
2022-06-24,REP-213,161638.51,1,4.9
2023-04-10,REP-689,200172.78,9,4.2
2023-03-22,REP-381,430809.36,36,1.7
2023-01-06,REP-474,321456.03,40,4.1
2022-01-22,REP-756,448247.96,15,1.5
2023-04-27,REP-291,101766.99,40,2.1
2022-02-27,REP-494,201173.62,37,3.3
2022-03-03,REP-914,395730.56,7,3.9
2022-01-24,REP-533,107276.29,30,3.1
2023-04-21,REP-905,418566.84,46,2.7
2023-01-13,REP-562,355069.61,3,4.2
2022-12-25,REP-183,286757.27,35,2.6
2022-02-26,REP-245,117808.59,3,2.8
2022-09-29,REP-794,425663.94,25,1.6
2022-11-01,REP-386,247053.23,50,4.3
2022-08-30,REP-907,489152.94,37,2.5
2022-05-16,REP-983,447443.79,34,3.5
2022-05-17,REP-260,90631.25,29,2.5
2023-04-05,REP-614,189723.25,35,1.3
2022-04-08,REP-694,294349.41,11,2.3
2022-12-30,REP-434,114025.63,9,4.1
2022-02-11,REP-127,411179.16,45,2.2
2022-10-12,REP-463,328491.24,13,1.5
2022-07-20,REP-695,237274.34,25,3.1
2022-01-08,REP-343,267196.06,28,4.9
2022-12-14,REP-277,63113.96,30,3.4
2022-09-16,REP-238,485538.31,31,2.3
2022-10-09,REP-567,198016.64,37,3.6
2022-01-29,REP-139,270615.98,46,4.0
2022-05-25,REP-606,403442.23,2,1.2
2022-05-15,REP-426,160352.54,49,4.1
2022-11-17,REP-448,69329.63,41,2.1
2022-11-14,REP-558,112945.29,11,2.7
2022-08-05,REP-315,86746.89,49,2.2
2022-02-02,REP-322,312897.9,48,2.2
2023-03-04,REP-254,281925.24,46,2.0
2022-09-24,REP-167,75572.9,31,4.2
2022-05-01,REP-342,66195.95,2,4.3
2022-08-26,REP-865,233786.58,16,4.9
2022-04-08,REP-503,225919.89,49,3.8
2023-01-04,REP-578,249938.41,31,1.3
2022-07-01,REP-774,55487.17,39,2.1
2022-11-19,REP-767,289765.32,6,2.1
2022-03-27,REP-834,335907.34,32,3.6
2022-02-26,REP-943,99788.56,13,1.6
2023-01-29,REP-388,391390.81,11,3.6
2022-05-09,REP-819,457283.51,44,3.7
2022-07-11,REP-197,290689.94,21,2.1
2022-12-19,REP-735,189036.62,50,1.9
2023-01-18,REP-558,397714.66,31,2.4
2022-05-29,REP-726,366685.49,23,1.1
2022-02-21,REP-871,371028.75,17,2.3
2022-03-27,REP-263,142437.41,13,2.2
2022-05-09,REP-656,37648.95,40,4.8
2022-01-21,REP-868,104365.68,39,4.9
2022-11-14,REP-417,348783.3,48,2.2
2022-12-03,REP-646,289807.01,18,4.2
2022-09-15,REP-433,145963.48,46,1.7
2023-03-11,REP-955,415715.72,34,4.7
2023-03-13,REP-445,255829.0,23,3.4
2022-06-21,REP-665,37481.92,22,4.5
2022-03-18,REP-809,416682.11,21,2.8
2022-07-31,REP-431,413593.03,9,4.4
2023-01-26,REP-640,410751.7,6,3.1
2023-04-21,REP-531,376310.8,25,3.6
2022-07-21,REP-530,75349.23,3,2.2
2022-04-11,REP-433,5566.61,4,1.7
2022-08-23,REP-582,231256.31,7,2.9
2023-01-12,REP-615,439907.22,46,4.2
2022-06-03,REP-421,394736.2,30,1.8
2022-12-21,REP-891,226105.95,46,3.0
2022-04-13,REP-568,256509.92,43,4.3
2022-05-13,REP-243,51138.97,35,4.8
2022-01-26,REP-187,320793.85,50,4.2
2022-10-21,REP-699,386002.52,29,2.1
2022-01-11,REP-540,40314.56,5,2.3
2022-03-07,REP-922,93442.09,49,1.9
2022-01-27,REP-766,94339.04,39,3.3
2023-01-30,REP-801,288382.53,7,1.4
2022-11-14,REP-565,419420.25,37,1.0
2022-09-29,REP-644,16360.69,6,3.8
2022-12-17,REP-309,469508.25,23,1.1
2023-04-28,REP-836,394243.03,38,1.5
2022-04-29,REP-839,310860.81,31,3.8
2022-03-02,REP-679,230000.47,40,3.9
2022-01-21,REP-141,208751.98,12,3.7
2023-01-24,REP-826,292765.77,21,2.6
2022-12-18,REP-847,108774.61,43,2.4
2022-08-23,REP-361,425097.37,45,1.7
2022-03-17,REP-952,151388.57,42,2.8
2022-06-02,REP-685,89254.62,25,2.2
2022-12-14,REP-634,14184.18,1,4.0
2022-08-19,REP-130,301221.72,28,3.9
2023-01-23,REP-989,162803.26,38,2.0
2022-06-22,REP-963,322045.2,40,1.4
2022-03-09,REP-988,279807.53,43,2.3
2022-04-28,REP-208,57766.73,44,3.6
2022-05-03,REP-581,80281.22,41,1.8
2022-12-28,REP-584,27129.06,7,3.0
2022-01-14,REP-120,10061.11,33,4.1
2022-08-15,REP-622,133213.95,8,1.0
2022-04-12,REP-600,469559.0,32,2.3
2022-06-23,REP-598,317367.0,13,2.3
2022-12-27,REP-526,102093.49,48,2.7
2022-12-04,REP-960,483483.16,9,1.5
2023-04-09,REP-685,431884.35,39,4.8
2023-03-21,REP-134,93440.37,9,1.2
2022-09-25,REP-120,137250.47,48,1.5
2023-01-03,REP-720,259479.63,40,2.7
2022-02-18,REP-231,92068.12,2,4.0
2023-01-13,REP-861,195717.01,44,3.0
2023-04-09,REP-629,300587.75,22,3.0
2022-08-26,REP-977,212798.47,48,3.0
2022-07-26,REP-101,152803.69,40,3.3
2022-06-22,REP-396,35703.83,38,1.9
2022-03-14,REP-832,406869.14,14,2.7
2023-02-16,REP-575,130187.57,47,1.3
2022-09-24,REP-637,94595.77,49,1.5
2022-03-05,REP-895,187844.59,12,4.0
2022-02-15,REP-358,320155.63,12,3.0
2022-08-24,REP-334,401777.36,37,3.4
2022-01-03,REP-948,493547.2,44,1.3
2022-09-09,REP-839,341742.75,45,2.1
2022-11-02,REP-292,120513.03,39,4.6
2023-04-29,REP-471,150822.1,26,2.3
2022-11-21,REP-653,144010.0,23,4.2
2022-05-31,REP-815,434323.14,15,2.9
2023-03-22,REP-747,491743.4,35,2.1
2022-11-04,REP-784,494619.87,28,2.3
2022-10-02,REP-861,437496.22,30,2.5
2022-07-24,REP-788,461261.22,40,1.1
2022-05-06,REP-853,351857.69,13,1.4
2022-01-07,REP-770,263033.72,32,2.0
2023-03-26,REP-458,316714.63,32,3.7
2023-04-16,REP-818,381917.85,42,4.3
2022-11-08,REP-810,465646.38,23,4.3
2023-04-05,REP-899,432241.33,15,3.3
2022-01-15,REP-946,299589.45,26,4.1
2023-01-03,REP-769,367746.42,8,2.6
2022-01-27,REP-688,47806.11,21,2.3
2022-06-02,REP-323,309779.66,29,1.1
2023-01-03,REP-595,365185.69,12,1.6
2022-07-01,REP-445,56956.48,32,4.0
2022-03-07,REP-366,350877.79,6,2.5
2022-06-27,REP-525,296062.39,39,3.2
2023-03-03,REP-580,409368.92,38,4.9
2022-04-25,REP-623,13473.42,45,2.9
2022-02-25,REP-817,394217.93,1,1.8
2022-05-04,REP-918,123478.63,38,3.7
2022-11-13,REP-447,64890.46,39,2.8
2022-09-29,REP-434,99897.21,7,2.7
2022-12-08,REP-269,243317.09,28,3.7
2023-03-26,REP-893,120979.62,19,3.6
2022-06-05,REP-673,151369.12,43,1.6
2022-02-22,REP-692,88169.61,31,4.3
2022-12-27,REP-332,10412.39,47,4.3
2022-03-30,REP-821,274047.91,23,3.0
2023-02-01,REP-136,361588.15,2,1.9
2022-07-30,REP-759,221295.04,6,1.8
2022-02-15,REP-840,389247.68,44,4.5
2022-04-27,REP-191,496805.0,20,1.7
2022-03-21,REP-353,222178.89,1,4.4
2022-01-28,REP-428,84605.05,47,1.5
2022-06-12,REP-515,216035.42,32,4.9
2022-06-18,REP-697,390517.82,37,4.3
2022-07-02,REP-871,365550.36,13,3.9
2022-09-21,REP-237,461855.31,46,4.6
2022-07-04,REP-290,87254.66,39,4.9
2022-01-22,REP-888,160061.32,11,3.5
2022-11-25,REP-236,56328.99,27,1.1
2022-11-16,REP-487,265847.73,1,3.7
2022-04-02,REP-738,288438.81,16,2.6
2022-03-09,REP-555,420525.33,38,1.9
2022-05-24,REP-440,416886.07,1,2.5
2022-03-08,REP-483,102913.42,4,1.5
2023-01-29,REP-904,68709.21,38,1.7
2023-01-08,REP-940,53289.73,33,1.9
2022-11-07,REP-405,288889.56,17,1.5
2022-11-22,REP-315,308234.11,46,4.3
2023-03-05,REP-334,439886.78,16,4.6
2022-08-16,REP-707,453134.38,23,1.5
2022-02-27,REP-789,396382.24,45,2.7
2022-11-24,REP-259,79230.55,39,1.3
2023-03-18,REP-835,380560.15,46,3.8
2022-02-08,REP-374,361930.48,16,4.8
2022-03-31,REP-758,286086.06,10,5.0
2022-02-14,REP-108,424961.42,20,4.2
2023-01-28,REP-208,14381.67,36,4.1
2023-03-02,REP-285,191488.96,29,1.1
2022-04-15,REP-690,483344.97,6,1.1
2022-08-08,REP-665,355602.78,21,3.7
2023-01-08,REP-331,43014.78,33,2.5
2022-03-09,REP-151,329292.2,37,5.0
2022-03-09,REP-428,267385.91,12,3.4
2023-02-26,REP-571,280252.72,27,4.6
2022-09-07,REP-549,470550.97,47,1.8
2022-07-14,REP-732,435727.27,12,2.5
2023-04-29,REP-522,460188.43,40,3.5
2022-11-21,REP-424,39805.19,31,3.7
2022-11-19,REP-732,429864.03,27,2.6
2022-08-18,REP-254,234207.88,21,1.2
2023-01-15,REP-162,76220.45,21,2.6
2023-02-16,REP-507,261385.11,32,2.0
2022-10-06,REP-573,125904.89,44,2.2
2023-02-20,REP-534,443857.95,21,4.9
2022-12-11,REP-701,159116.06,12,1.8
2022-01-04,REP-806,253119.69,35,3.8
2023-04-04,REP-251,349620.11,42,2.2
2022-09-05,REP-752,45370.71,3,1.2
2023-04-14,REP-157,327694.53,37,2.1
2022-05-26,REP-251,425136.18,43,3.8
2022-12-21,REP-446,373963.4,20,4.8
2023-04-27,REP-864,383251.13,17,3.6
2022-04-10,REP-364,131594.3,31,1.1
2022-01-30,REP-882,68551.64,29,4.5
2022-12-16,REP-265,204783.22,20,1.8
2023-04-25,REP-885,413517.44,48,4.7
2023-01-16,REP-280,163151.11,23,3.6
2022-01-07,REP-463,234163.51,48,4.7
2022-10-30,REP-373,479200.85,11,3.5
2022-06-11,REP-941,437290.9,48,1.1
2022-04-01,REP-908,373565.84,28,4.5
2023-02-27,REP-239,127981.92,3,2.0
2022-07-18,REP-452,449337.3,18,4.7
2022-06-19,REP-545,232127.18,17,1.7
2022-11-01,REP-219,270878.5,33,2.7
2022-06-18,REP-474,97019.72,14,3.4
2022-12-01,REP-127,63785.77,45,1.0
2023-04-14,REP-966,246826.54,44,4.3
2022-01-16,REP-729,391641.71,15,3.7
2022-08-12,REP-675,325137.06,17,3.3
2022-04-29,REP-876,113941.71,37,3.1
2022-07-16,REP-914,58420.54,32,1.2
2022-05-09,REP-118,264517.16,14,2.6
2022-05-02,REP-897,254110.85,30,2.6
2022-01-08,REP-923,290158.67,50,1.9
2023-04-07,REP-341,309563.09,39,3.1
2022-08-01,REP-409,143733.25,16,2.3
2022-11-09,REP-445,340653.32,40,4.2
2022-06-12,REP-613,448427.16,36,3.8
2023-03-01,REP-770,27086.26,16,4.0
2022-10-01,REP-410,30423.58,12,4.3
2023-04-13,REP-833,445152.88,34,3.7
2022-07-08,REP-982,44475.99,13,3.7
2023-01-14,REP-297,227963.94,22,1.0
2022-07-18,REP-195,244818.03,12,1.1
2022-04-07,REP-624,161419.58,31,2.9
2022-01-26,REP-567,201299.94,11,1.6
2022-03-26,REP-240,432706.84,31,4.5
2022-10-25,REP-321,283792.72,27,4.5
2023-02-20,REP-562,254264.3,41,4.6
2023-01-14,REP-811,349587.63,13,1.7
2022-01-19,REP-502,350044.28,37,2.3
2023-03-04,REP-417,285694.65,4,3.7
2022-03-13,REP-429,22203.87,31,2.1
2022-01-04,REP-331,257374.63,2,2.8
2022-09-03,REP-123,455595.08,34,4.5
2023-02-28,REP-532,16447.95,24,4.8
2022-03-12,REP-220,407837.71,36,1.5
2023-03-19,REP-551,149710.33,48,2.7
2022-08-08,REP-899,457729.6,45,2.8
2022-07-29,REP-473,227189.35,29,4.1
2022-09-09,REP-499,38937.0,5,2.4
2022-01-04,REP-492,348724.33,27,3.8
2022-05-14,REP-505,234755.6,32,2.5
2022-09-28,REP-957,438248.86,4,2.0
2022-01-08,REP-356,320266.99,3,1.6
2022-02-06,REP-963,424286.16,7,2.4
2022-03-29,REP-310,322618.69,2,4.6
2023-01-25,REP-998,72484.31,28,4.8
2022-02-05,REP-548,224074.3,34,3.5
2022-12-01,REP-669,317514.36,32,2.5
2022-10-28,REP-556,47967.05,49,1.5
2022-11-03,REP-523,253214.14,26,3.0
2022-12-28,REP-946,216619.31,13,3.8
2022-10-05,REP-629,260974.89,33,2.0
2023-01-14,REP-913,99861.54,14,3.3
2022-02-13,REP-709,487533.84,8,1.9
2022-01-29,REP-896,5101.59,19,3.0
2023-03-24,REP-915,17170.42,27,3.0
2022-07-05,REP-702,379826.54,3,4.2
2022-06-13,REP-197,309009.83,8,3.7
2023-02-05,REP-230,328255.0,32,1.0
2022-05-16,REP-581,252008.11,50,1.1
2022-12-16,REP-700,205963.21,21,5.0
2022-08-29,REP-604,134797.51,47,4.0
2022-06-02,REP-496,317755.88,21,4.3
2022-03-20,REP-947,329250.42,27,3.5
2022-12-18,REP-164,41907.31,12,1.1
2022-06-12,REP-258,321607.42,49,1.6
2022-12-14,REP-802,73022.58,15,1.9
2022-03-21,REP-521,40190.58,5,3.0
2022-08-27,REP-271,406897.51,5,4.3
2022-09-09,REP-519,485061.78,28,2.5
2022-11-30,REP-407,108666.96,13,1.1
2022-11-05,REP-240,285495.91,19,2.5
2022-01-07,REP-706,235316.28,44,3.5
2022-09-05,REP-244,223934.49,2,2.8
2022-05-17,REP-138,456022.26,1,2.2
2022-10-30,REP-756,100983.58,1,2.0
2022-06-09,REP-100,142412.94,20,2.7
2022-08-02,REP-551,288502.29,18,3.9
2022-05-31,REP-976,455581.92,31,3.4
2022-06-28,REP-577,159382.7,9,4.5
2023-01-25,REP-103,98667.36,25,3.2
2023-02-15,REP-244,179129.99,47,4.9
2022-09-05,REP-858,449023.43,12,1.6
2022-09-05,REP-495,476708.87,1,2.4
2022-07-19,REP-460,370621.59,20,4.1
2023-02-07,REP-500,124923.55,50,2.1
2022-10-19,REP-379,208320.19,18,3.9
2022-02-10,REP-641,8995.63,1,1.4
2022-12-18,REP-729,231990.57,1,3.2
2022-10-09,REP-185,433268.62,47,3.7
2022-09-17,REP-864,263537.54,1,2.5
2022-08-28,REP-843,362698.21,25,4.9
2022-06-27,REP-792,180884.67,25,1.8
2022-06-06,REP-310,320392.56,13,4.3
2023-04-07,REP-873,204837.54,12,2.4
2022-06-08,REP-481,34672.4,9,4.9
2022-12-22,REP-357,245851.88,10,4.4
2022-07-05,REP-475,145973.86,34,1.2
2022-12-23,REP-313,323426.3,3,4.6
2022-11-15,REP-850,228178.48,3,4.6
2022-06-24,REP-241,157716.32,18,4.4
2022-06-16,REP-819,472258.9,33,1.7
2022-06-02,REP-992,339579.1,43,2.4
2022-03-25,REP-586,303143.04,32,4.7
2022-04-05,REP-248,496898.54,49,4.6
2022-11-28,REP-545,358805.98,6,1.6
2022-07-09,REP-163,117311.64,24,1.6
2022-05-15,REP-285,320418.01,32,3.3
2022-11-28,REP-310,169617.26,42,1.2
2023-02-23,REP-979,298151.37,18,4.3
2022-04-02,REP-938,50891.96,19,4.7
2022-02-27,REP-946,144642.09,50,1.6
2022-04-05,REP-920,318711.35,36,4.6
2023-02-17,REP-813,293742.45,19,3.4
2022-03-18,REP-607,404622.98,16,3.6
2022-09-29,REP-329,108162.33,22,3.2
2022-11-24,REP-939,411730.07,43,3.4
2022-11-10,REP-569,440268.0,13,4.5
2022-01-31,REP-537,110507.87,32,4.4
2022-12-19,REP-121,404289.53,7,2.6
2022-09-23,REP-799,153546.3,28,2.3
2022-03-15,REP-578,52126.07,20,4.1
2022-03-03,REP-847,461945.88,40,3.4
2022-03-27,REP-794,337321.12,35,2.2
2022-01-23,REP-283,457772.12,46,1.2
2022-03-26,REP-619,175129.81,36,1.8
2022-10-16,REP-174,462616.74,8,2.7
2023-03-22,REP-722,138291.8,18,1.7
2023-03-24,REP-196,460095.7,45,2.0
2022-08-24,REP-688,135775.76,7,2.4
2022-05-26,REP-443,458389.13,6,3.0
2022-11-09,REP-409,18617.8,42,2.8
2023-01-29,REP-416,470516.78,27,4.5
2022-08-10,REP-746,495081.63,43,2.9
2023-04-13,REP-489,77461.72,16,3.9
2022-03-30,REP-140,87946.74,6,3.7
2023-04-11,REP-757,93652.05,31,1.8
2022-10-30,REP-272,53682.52,15,4.6
2022-12-07,REP-189,453069.96,46,4.2
2022-09-03,REP-872,190644.58,39,4.1
2022-04-03,REP-976,36857.92,2,1.0
2023-01-07,REP-294,128803.54,33,4.8
2022-01-21,REP-530,40131.8,46,4.5
2022-12-02,REP-261,487252.02,49,1.0
2022-06-24,REP-953,158506.71,31,4.7
2022-02-25,REP-304,41713.59,49,2.9
2022-03-09,REP-772,147956.17,7,4.2
2022-11-29,REP-439,29953.73,50,4.7
2022-03-21,REP-934,310398.42,20,1.2
2022-11-21,REP-554,241002.52,19,2.8
2022-06-25,REP-707,350166.04,3,3.9
2023-04-02,REP-566,492247.49,43,3.9
2022-09-28,REP-931,144229.03,17,2.4
2023-02-10,REP-983,76904.86,48,1.9
2022-10-05,REP-557,340887.72,20,3.8
2022-07-25,REP-381,321984.27,47,3.9
2022-09-18,REP-885,60531.67,14,2.4
2022-02-10,REP-208,284172.62,17,3.2
2022-03-17,REP-768,106917.12,1,1.1
2022-06-10,REP-528,87678.23,30,2.2
2022-02-20,REP-317,358430.97,2,4.3
2022-05-16,REP-796,101874.62,25,4.6
2022-10-27,REP-239,462624.45,1,2.9
2022-12-22,REP-464,153472.46,14,4.0
2022-09-01,REP-310,117196.71,17,4.7
2022-11-12,REP-320,251937.11,29,2.3
2023-03-01,REP-312,364665.05,5,1.9
2022-12-03,REP-457,21675.93,30,1.2
2022-08-18,REP-553,10957.97,17,1.8
2022-08-25,REP-793,352511.48,31,3.2
2022-08-18,REP-778,146547.02,37,4.3
2022-06-16,REP-112,459765.29,43,3.4
2022-12-16,REP-688,186507.23,13,2.0
2023-01-08,REP-868,163664.69,16,4.5
2023-02-24,REP-882,92418.47,36,1.8
2022-06-17,REP-788,98212.37,41,2.6
2022-09-15,REP-765,97357.23,5,3.8
2022-03-16,REP-590,241369.04,48,2.2
2023-03-30,REP-808,123389.8,12,3.3
2023-01-27,REP-884,178663.41,12,2.9
2023-03-16,REP-742,494487.53,26,1.6
2022-09-27,REP-373,223873.99,18,4.5
2022-04-29,REP-510,200025.38,18,4.3
2022-04-25,REP-476,132800.11,46,4.6
2022-03-03,REP-112,152990.01,14,3.6
2022-03-05,REP-772,196207.36,13,1.3
2022-12-12,REP-855,469791.08,29,3.0
2022-02-12,REP-700,46988.15,31,2.5
2022-08-01,REP-732,243408.42,41,4.6
2023-03-28,REP-879,50451.04,39,4.0
2023-01-27,REP-225,432579.62,5,3.9
2022-10-26,REP-567,226810.28,33,3.2
